text,pronunciation,description
Capricious,[kuh-PRISH-us],"Unpredictable, tending to change abruptly for no apparent or logical reason.<br>Synonyms of capricious include flighty, changeable, impulsive, and fickle. More difficult synonyms include erratic, whimsical (W(H)IM-zi-kul), volatile (VAHL-uh-tul), and mercurial (mur-KYUR-ee-ul).<br>A caprice (kuh-PREES) is a sudden change of mind or change in the emotions. A person or a thing that is capricious is subject to caprices—to abrupt, unpredictable changes: ""He's so capricious, his mood changes with the wind""; ""New England has a capricious climate""; ""The stock market is notoriously capricious.""<br>Did you notice that my recommended pronunciation for capricious is kuh-PRISH-us, the second syllable rhyming with wish? You will hear educated speakers say kuh-PREE-shus, a pronunciation based on the corresponding noun caprice (kuh-PREES). This variant has been recognized by American dictionaries since the 1960s. But authorities have preferred kuh-PRISH-us since the 18th century, when pronunciation was first recorded. Current American dictionaries list kuh-PRISH-us first, and it is the only pronunciation in the Oxford English Dictionary. Have you ever heard anyone put an E in the middle of suspicious, judicious, or avaricious ? Rhyme capricious with delicious.<br><br>Unpredictable, tending to change abruptly for no apparent or logical reason.<br>Synonyms: flighty, changeable, impulsive, fickle, erratic, whimsical, volatile, mercurial.<br>Antonyms: stable, reliable, unwavering, steadfast, abiding.<br>Corresponding noun: caprice, a sudden change of mind or change in the emotions.<br>Pronunciation tip: caprice is pronounced kuhPREES; capricious should rhyme with delicious.<br>"
Blatant,[BLAYT-’nt],"Noisy, disagreeably or offensively loud, boisterous, clamorous: ""the blatant sound of horns honking in heavy traffic.""<br>Blatant is also used to mean sticking out in a glaring way, obtrusive, flagrant, as in ""a blatant lie,"" ""a blatant error,"" ""a blatant attempt to impress the boss.""<br>In either sense, blatant suggests something conspicuous and disagreeable.<br><br>Noisy, disagreeably or offensively loud, boisterous, clamorous; also, sticking out in a glaring way, obtrusive, flagrant."
Obligatory,[uh-BLIG-uh-tor-ee],"Required, necessary, binding, mandatory.<br>Obligatory duties are those you must perform to fulfill an obligation or responsibility. Doing miscellaneous paperwork is an obligatory function of the clerical worker.<br>Do not pronounce the initial o in obligatory like the o in open. Pronounce it like the a in above.<br><br>Required, necessary, binding, mandatory.<br>Antonyms: optional, voluntary."
Negligible,[NEG-li-ji-bul],"Unimportant, trifling, of little consequence.<br>That which is negligible can be neglected. A negligible concern can be disregarded; it is so trivial and insignificant that it warrants little or no attention.<br><br>Unimportant, trifling, of little consequence.<br>Synonyms: trivial, insignificant"
Adamant,[AD-uh-mint],"Unyielding, immovable, inflexible, refusing to give in, unshakable, unrelenting, implacable. ""She was adamant in her opposition to the plan.""<br>The adjective adamant comes from the noun adamant, which refers to a hard substance or stone, such as a diamond, that in ancient times was believed to be unbreakable. There is an old word adamantine (AD-uh-MAN -tin), still listed in current dictionaries but not often used; it means like adamant, very hard, unbreakable. The adjective adamant, which has replaced adamantine in current usage, means hard in the sense of inflexible, immovable, unyielding.<br><br>Unyielding, immovable, inflexible, refusing to give in.<br>Synonyms: unshakable, unrelenting, implacable."
Sporadic,[spuh-RAD-ik or spor-AD-ik],"Occasional, infrequent, irregular, not constant, happening from time to time, occurring in a scattered or random way.<br>A business venture may have sporadic success. A gambler's luck may be sporadic. Sporadic crimes are crimes scattered throughout a city or neighborhood. Sporadic outbreaks of a disease in the population are occasional, isolated outbreaks.<br>Antonyms of sporadic include constant, incessant (in-SES-int), and unremitting.<br><br>Occasional, infrequent, irregular, not constant, happening from time to time, occurring in scattered or random way.<br>Antonyms: constant, incessant, unremitting."
Vanguard,[VAN-gahrd],"The forefront of an action or movement, leading position or persons in a movement: ""They were in the vanguard of the war on poverty.""<br>In its strict military sense, vanguard means the troops moving at the head of an army, the part of the army that goes ahead of the main body, an advance guard.<br><br>The forefront of an action or movement, leading position or persons in a movement."
Concur,[kun-KUR],"To agree, be in accord with, unite in opinion.<br>Concur comes from the Latin con-, together, and currere, to run, flow, and means literally to run or flow together, go along with. That derivation has led to three slightly different meanings of the word.<br>First, concur may be used to mean to act together, combine in having an effect, as ""Time and chance concurred in our success.""<br>Second, concur may be used to mean happen together, occur at the same time, coincide, as ""His pay raise concurred with his promotion.""<br>The third and most common meaning of concur is to agree, as ""Your story concurs with theirs""; ""We concurred on almost every point of negotiation.""<br><br>(1)	To agree, be in accord with, unite in opinion.<br>(2)	To act together, combine in having an effect.<br>(3)	To happen together, occur at the same time, coincide.<br>Etymology tip: One meaning of the Latin prefix con- is ""together."" By derivation, that which concurs happens together, acts together, or is together in opinion."
Precociousness,[pruh-KOH-shus-nis],"Early development or maturity, especially in mental ability.<br>The noun precociousness and the adjective precocious come from the Latin praecox, which means premature, or literally, ""ripening before its time."" Precocious is most often used of children whose intellectual or emotional development is unusually advanced. Precociousness, early development, is the opposite of retardation, slowness in development.<br><br>Early development or maturity, especially in mental ability.<br>Antonym: retardation.<br>Corresponding adjective: precocious."
Aloof,[uh-LOOF],"Apart, at a distance, removed, withdrawn, not wishing to speak or associate with others.<br>The aloof person is emotionally reserved and keeps a cool distance from others. Aloofness means reluctance to get involved or take an interest in something.<br>Synonyms of aloof include unsympathetic, unapproachable, standoffish , and indifferent.<br>Apart, at a distance, removed, withdrawn, not wishing to speak or associate with others.<br>Synonyms: unsympathetic, unapproachable, standoffish, indifferent."
Creed,[rhymes with need],"Belief, professed faith or opinion, especially a system of religious belief. Synonyms include doctrine and dogma.<br>In the United States it is illegal to discriminate against someone based on race or creed, belief.<br>Creed comes from the Latin credo, ""I believe,"" the source of the English word credo (KREE-doh or, like the Latin, KRAY-doh). A credo is a declared set of beliefs or opinions.<br>Credo and creed are synonymous. Credo is the more learned (LUR-nid) word, usually reserved for a formal declaration of belief. Creed is used more generally of any professed faith or opinion.<br>The Latin credo is also the source of incredible, not believable, credible, believable, and credulous (KREJ-uh-lus). Credulous means inclined to believe, willing to accept something as true without questioning. Credulous and gullible are synonymous. To a credulous person, even the most outrageous tall tales seem credible.<br><br>Belief, professed faith or opinion, especially a system of religious belief.<br>Synonyms: doctrine, dogma, credo (KREE-doh or KRAY-doh).<br>Related words: incredible, credible, credulous. Credulous means willing to accept something as true without questioning. Credulous and gullible are synonymous."
Tawdry,"[TAW-dree, rhymes with Audrey]","Cheap and showy, gaudy, garish, sleazy.<br>Legend has it that tawdry comes from the phrase ""tawdry lace,"" a corruption of ""Saint Audrey lace,"" a type of lace sold at Saint Audrey's fair in England. Apparently the lace was of inferior quality, thus over time the word tawdry came to mean cheap and showy. Today the word may be used both literally and figuratively. A person may wear tawdry clothing or have a tawdry reputation.<br><br>Cheap and showy, gaudy, garish, sleazy.<br>Etymology: Tawdry comes from the phrase ""tawdry lace,"" a corruption of ""Saint Audrey lace,"" an inferior type of lace sold at Saint Audrey's fair in England."
Peevish,[PEE-vish],"Irritable, cross, complaining, fretful, ill-humored and impatient, difficult to please.<br>There are peevish moods, peevish remarks, and peevish looks. A peeve is something that irritates or annoys: ""Her pet peeve is a wet towel left on the bed."" Peevish means irritable, ill-humored, full of complaints.<br><br>Irritable, cross, complaining, fretful, ill-humored and impatient, difficult to please, full of complaints.<br>Corresponding noun: peeve, something that irritates or annoys. N.B. Compare cantankerous (Level 1, Word 41)."
Arduous,[AHR-joo-us],"Very difficult, hard to achieve or accomplish, requiring great effort. ""Compiling the annual report is an arduous task."" ""Raising children is an arduous responsibility.""<br>Synonyms of arduous include strenuous, laborious, and toilsome.<br><br>Very difficult, hard to achieve or accomplish, requiring great effort.<br>Synonyms: strenuous, laborious, toilsome."
Personable,[PUR-suh-nuh-buul],"Attractive, pleasing in appearance, handsome, comely, fair, presentable.<br>In recent years, personable has come to be used to mean having a nice personality. You should avoid using the word in that way. The words sociable, affable, and amiable already suggest people who are friendly, pleasant, and approachable. There is no need for personable to take over this sense. An awkward or unbecoming person, no matter how friendly and pleasant, cannot correctly be personable. Reserve personable for someone who is either attractive in appearance or attractive both in appearance and personality.<br><br>Attractive, pleasing in appearance.<br>Synonyms: handsome, comely, fair, presentable.<br>Usage tip: Avoid using personable to mean having nice personality. Sociable, affable, and amiable already suggest people who are friendly, pleasant, and approachable. An awkward or unbecoming person, no matter how friendly and pleasant, cannot correctly be personable. Reserve personable either for someone who is attractive in appearance or attractive both in appearance and personality."
Resolute,[REZ-uh-loot],"Firmly determined or settled, resolved, having a set opinion or purpose, steadfast, unwavering, persevering.<br>Resolute comes from the Latin resolvere, the source also of the verb to resolve, which means to decide, determine, settle once and for all: ""After much debate, the board of directors resolved to go ahead with the five-year plan."" ""The lawyers tried to resolve the case out of court."" Resolute means resolved in one's opinion or purpose: ""He was resolute about earning a master's degree and starting a successful business.""<br>Antonyms of resolute include irresolute, unsteady, and vacillating (VAS-i-lay-ting).<br><br>Firmly determined or settled, resolved, having a set opinion or purpose.<br>Synonyms: steadfast, unwavering, persevering.<br>Antonyms: irresolute, unsteady, vacillating.<br>Corresponding verb: resolve, to decide, determine, settle once and for all."
Supposition,[SUHP-uh-ZISH-in],"An assumption, theory, hypothesis.<br>To suppose means to assume as true, put something forward for consideration. A supposition is something supposed, an idea put forward for consideration.<br>A hypothesis (hy-PAHTH-uh-sis), a conjecture (kun-JEK-chur), and a supposition are all assumptions or theories.<br>A hypothesis is a preliminary or incomplete theory based on insufficient evidence: ""There are conflicting hypotheses about the origin of the universe."" (The plural, hypotheses, is pronounced hy-PAHTH-uh-seez.)<br>A conjecture is an assumption based on so little evidence that it is merely an educated guess: ""Every week we hear different conjectures about trends in the stock market.""<br>A supposition may be based on ample evidence or no evidence at all, and may be either sensible or irrational: ""His suppositions about the company's financial condition proved consistent with the facts.""<br><br>An assumption, theory, hypothesis, conjecture."
Arbitrary,[AHR-bi-TRAIR-ee or -TRER-ee],"Unreasoned, based on personal feelings or preferences rather than on reason, logic, or law: ""An arbitrary price for a product is not necessarily a fair price""; ""His arbitrary decisions have cost the company a lot of money.""<br>Arbitrary comes from the same Latin source as the words arbiter (AHR-bi-tur) and arbitrator (AHR-bi-TRAY-tur). Arbiter and arbitrator both mean a judge or umpire who makes a final decision or resolves a dispute. Arbitrary means making discretionary judgments or decisions that may or may not be fair or reasonable.<br>Arbitrary has two other useful meanings. It may mean determined or arrived at in a random or illogical manner. For example, the arrangement of furniture in a room may be arbitrary, without an evident theme or pattern; arbitrary decisions are arrived at in a hasty, haphazard way. Arbitrary may also mean exercising unrestrained or absolute power: an arbitrary government has no regard for individual liberty.<br><br>(1)	Unreasoned; based on personal feelings or preferences rather than on reason, logic, or law; making discretionary judgments or decisions that may or may not be fair or reasonable.<br>(2)	Determined or arrived at in a random or illogical manner.<br>(3)	Exercising unrestrained or absolute power.<br>Related words: Arbiter and arbitrator both mean a judge or umpire who makes a final decision or resolves a dispute."
Monotonous,[muh-NAHT-uh-nus],"Lacking variety, tediously uniform, unvarying and dull.<br>Monotonous means literally having one continuous sound or tone. It combines the word tone with the prefix mono-, one, single. The prefix mono- appears in many English words, including monogamy (muh-NAHG-uh-mee), marriage to one person; monocle (MAHN-uh-kul), a single eyeglass; and monogram (MAHN-uh-gram), two or more letters woven into one.<br>That which is monotonous is boring because it lacks variety. A monotonous speaker says the same thing again and again in the same tone of voice. Monotonous music is dull and repetitive. A monotonous job is one where the routine never changes. The corresponding noun is monotony (muh-NAHT’n-ee), a tedious lack of variety.<br><br>Lacking variety, tediously uniform, unvarying and dull; literally, having one continuous sound or tone.<br>Etymology tip: The prefix mono- means ""one, single,"" as in the related words monogamy, monocle, and monogram."
Legacy,[LEG-uh-see],"Something handed down from the past, an inheritance.<br>Legacy may be used in two ways. It may mean a gift of money or property provided by a will, an inheritance, bequest: ""Her wealthy uncle left her a generous legacy."" It may also mean anything inherited or passed down through time: ""The cultural legacy of ancient Greece and Rome has shaped Western civilization.""<br>Something handed down from the past.<br>Synonyms: inheritance, bequest."
Manifold,[MAN-i-fohld],"Numerous and varied, consisting of many kinds, containing many elements, features, or characteristics: a large company with manifold operations and divisions; a challenging executive position with manifold responsibilities.<br>Manifold may sound like a fancy substitute for many, but it's not. While many simply means much, a lot, manifold emphasizes variety, diversity. If your job has manifold duties then the things you do are both numerous and varied.<br>Equally difficult synonyms of manifold are multifarious (MUHL-ti-FAIR -ee-us) and multitudinous (MUHL-ti-T(Y)OO-di-nus). Both manifold and multifarious mean having great variety or diversity: The human race is multifarious, and human nature is even more complex and manifold.<br>Multitudinous means containing a multitude, consisting of a great number of persons or things: ""After his promotion to management, Bob was sometimes overwhelmed by mountains of paperwork and multitudinous administrative chores.""<br><br>Numerous and varied, consisting of many kinds, containing many elements, features, or characteristics.<br>Synonyms: multifarious, multitudinous."
Pliant,[PLY-int],"Bending easily, flexible, adaptable, workable.<br>Pliant comes from the French plier, to bend, the same source as pliers, the tool commonly used for bending or manipulating wires or metal pieces.<br>Pliant, pliable, and supple all mean bending or moving easily. Pliant and pliable usually refer to objects that are easily workable. Supple may apply to material things or to a human body that is flexible and limber.<br><br>Bending easily, flexible.<br>Synonyms: adaptable, workable, pliable, supple."
Retort,[ri-TORT],"A quick reply, especially one that is cutting or witty.<br>A retort and a rejoinder are similar in meaning but not quite synonymous. Rejoinder may be used generally to mean any answer or response, but specifically it means a counterreply, an answer to a reply. A retort is a swift, pointed response.<br>Retort comes from the prefix re-, back, and the Latin torquere, to twist, turn, and means literally ""something turned back."" In its most precise sense, a retort is a quick reply that counters or turns back a statement or argument: ""Phil's clever retorts kept his opponent on the defensive.""<br><br>A quick reply, especially one that is cutting or witty.<br>Synonym: rejoinder."
Obstinate,[AHB-sti-nit],"Stubborn, inflexible, unwilling to give in or compromise, not yielding to argument or persuasion.<br>The obstinate person stubbornly adheres to a purpose or opinion, often regardless of the consequences: ""First we reasoned with him, then we pleaded with him, but no matter what we said he remained obstinate and determined to have his way.""<br>Obstinate is sometimes mispronounced as if it were spelled obstinant, with an n slipped in before the final t. Take care to spell and pronounce this word correctly.<br>Synonyms of obstinate include hidebound, intractable, intransigent, and  adamant (word 15 of Level 1).<br><br>Stubborn, inflexible, unwilling to give in or compromise, not yielding to argument or persuasion.<br>Synonyms: hidebound, intractable, intransigent, adamant (Level 1, Word 15).<br>Pronunciation tip: Obstinate is sometimes mispronounced as if it were spelled obstinant. Take care to spell obstinate correctly and pronounce it AHB-sti-nit."
Lacerate,[LAS-uh-rayt],"To tear, cut roughly, rend, mangle: ""The sharp thorn lacerated his thumb.""<br>Lacerate may also be used figuratively to mean to wound, afflict, cause pain: ""Her husband's vicious retort lacerated her pride and made her burst into tears.""<br><br>Literally, to tear, cut roughly, rend, mangle. Figuratively, to wound, afflict, cause pain."
Omnipotent,[ahm-NIP-uh-tint],"All-powerful, almighty, having unlimited power or authority.<br>Omnipotent is formed from the word potent, powerful, and the combining form omni-, all. Whenever you see omni- in a word you have a good clue to its meaning, for you know that half the word means ""all.""<br>For example, omnidirectional (AHM-nee-di-REK-shi-nul) means all-directional, as an omnidirectional microphone, one that picks up signals from all directions. Omnipresent (AHM-ni-PREZ-int) means all-present, present everywhere at once. Omniscient (ahm-NISH-int) means all-knowing, having universal knowledge. Omnivorous (ahm-NIV-uh-rus) means eating all kinds of food or taking in everything: ""She is an avid reader with an omnivorous mind."" Our keyword, omnipotent, means all-powerful, almighty.<br><br>All-powerful, almighty, having unlimited power or authority.<br>Etymology tip: The element omni- means ""all,"" as in omnidirectional, omnipresent, and omniscient (ahm-NISH-int), all-knowing."
Unscrupulous,[uhn-SKROO-pyuh-lus],"Untrustworthy, dishonorable, deceitful, corrupt, lacking integrity or moral principles: ""The commission issued a report on unscrupulous business practices in the industry.""<br>A scruple is something that causes hesitation or doubt in determining what is appropriate and proper. Scrupulous means having scruples; hence, taking pains to do something exactly right. The scrupulous person is precise, careful, and honest. Unscrupulous means without scruples; hence, untrustworthy, unreliable, deceitful, and corrupt. Unscrupulous people will do almost anything, no matter how dishonorable, to get what they want.<br><br>Untrustworthy, dishonorable, deceitful, corrupt, lacking integrity or moral principles.<br>Related words: scruple, something that causes hesitation or doubt in determining what is appropriate and proper; scrupulous, having scruples-hence, taking pains to do something exactly right."
Renaissance,[ren-uh-SAHNS or REN-uh-sahns],"A revival, rebirth, resurgence, renewal of life or vigor.<br>The Renaissance was a revival of classical forms and motifs in art, architecture, literature, and scholarship that began in Italy in the fourteenth century, spread throughout Europe, and continued into the seventeenth century. Historically, the Renaissance marked the end of the medieval era and the beginning of the modern world.<br>The word renaissance comes from a French verb meaning to be born again. When spelled with a small or lowercase r, renaissance may refer to any renewal or resurgence of life, energy, or productivity. Many types of renaissance are possible: a cultural renaissance, a moral renaissance, a spiritual renaissance, and even a renaissance in the economy. A renaissance is a revival, rebirth, resurgence.<br><br>A revival, renewal of life or vigor.<br>Synonyms: rebirth, resurgence"
Genesis,[JEN-uh-sis],"A coming into being, beginning, origin, birth, creation.<br>The first book of the Judeo-Christian Bible is called Genesis because it describes God's creation, the origin of the universe and humankind. In current usage genesis may refer in a general sense to any creation or process of coming into being: the genesis of an idea; the genesis of a work of art; the genesis of an important social movement; the genesis of a distinguished career.<br><br>A coming into being, beginning.<br>Synonyms: origin, birth, creation."
Warrant,[WAHR-int],"To justify, give good reason for, authorize, sanction: the circumstances do not warrant such extraordinary measures; the evidence warrants further investigation; these safety procedures are warranted (WAHR-in-tid) by company regulations.<br>Warrant may also mean to guarantee, promise, give formal assurance of: the Postal Service will not warrant delivery on a specific day; the manufacturer warrants the safety of the product.<br>The adjective unwarranted means without good reason or authorization, unjustifiable: the U.S. Constitution protects citizens against unwarranted search and seizure; people resent unwarranted government interference in private enterprise.<br>(1)	To justify, give good reason for, authorize, sanction.<br>(2)	To guarantee, promise, give formal assurance of.<br>Related word: unwarranted, without good reason or authorization, unjustifiable."
Cantankerous,[kan-TANGK-uh-rus],"Difficult to deal with, disagreeable, argumentative, quick to quarrel or to exhibit ill will.<br>A cantankerous old man is ill-tempered and disagreeable. Cantankerous relatives are argumentative and hard to get along with.<br>Cantankerous comes from a Middle English word meaning strife, contention. Synonyms of cantankerous include contentious (kun-TEN-shus), which means quarrelsome, prone to argue or dispute; malicious, which means mean-spirited, nasty, spiteful; and irascible (i-RAS-uh-bul), which means quick-tempered, easily angered, extremely irritable.<br><br>Difficult to deal with, disagreeable, argumentative, quick to quarrel or to exhibit ill will.<br>Synonyms: contentious, malicious, irascible (i-RAS-uh-buul). N.B. Compare peevish (Level 1, Word 23)."
Flippant,[FLIP-’nt],"Disrespectful in a frivolous way, treating something serious in a trivial manner.<br>Flippant refers to speech or writing that trivializes or makes fun of something that deserves respect. Flippant language is inappropriately lighthearted or disrespectful: ""Everyone at the meeting gasped when Harry made a flippant remark about the board of directors.""<br>Although flippant expression generally causes dismay or offense, occasionally it may be humorous, depending on your point of view. For example, many talk show hosts today are adept at making flippant comments to dismiss guests or callers with opposing points of view.<br>Synonyms of flippant include cheeky, fresh, thoughtless, and impertinent. Antonyms include solemn, sober, sedate, and grave.<br><br>Disrespectful in a frivolous way, treating something serious in a trivial manner.<br>Synonyms: cheeky, fresh, thoughtless, impertinent.<br>Antonyms: solemn, sober, sedate, grave."
Subjugate,[SUHB-juh-gayt],"To conquer, defeat, vanquish, overwhelm completely, bring under rigid control, make submissive, dominate, enslave.<br>Subjugate comes from the Latin sub-, under, and jugum, a yoke, and means literally to place under a yoke. It is related to the noun a subject, which in one of its senses means a person under the control of a ruler, as a subject of the king. A subject is someone who has been subjugated, made submissive, brought under control, enslaved.<br>The words defeat, conquer, and subjugate are generally synonymous but are used in slightly different ways. Defeat suggests winning or beating an opponent in a single engagement; you can defeat a person in an argument, a contest, a game, or a fight. Conquer suggests achieving a final victory or gaining complete control over an opponent after a series of contests: ""After a long and arduous campaign, Caesar conquered the Gauls."" Subjugate adds to defeat and conquer the suggestion of domination, bringing the vanquished opponent under complete and rigid control: ""During World War II, Hitler conquered most of Europe and then brutally subjugated its people.""<br>Subjugation need not apply only to war; it may also refer to psychological domination. For example, you may subjugate an addiction, subjugate an impulse, or subjugate an emotion—yoke it, make it submit to your will, bring it under complete control.<br><br>To conquer, defeat, vanquish, overwhelm completely, bring under rigid control, make submissive, dominate, enslave.<br>Corresponding noun: subjugation."
Wry,[like rye],"Twisted, crooked, lopsided, askew, distorted in an odd, amusing way.<br>By derivation wry means twisted, but in modern usage it has come to imply twisted in a peculiar and often humorous manner.<br>A wry smile or grin is crooked, lopsided, and therefore comical. A wry remark has a funny or sarcastic twist to it. A person with a wry sense of humor is capable of twisting or distorting things in a laughable way.<br><br>Twisted, crooked, lopsided, askew, distorted in an odd, amusing way."
Urbane,[ur-BAYN],"Polished, sophisticated, suave, cosmopolitan.<br>Urbane is related to the adjective urban, pertaining to or living in a city. Urbane suggests the polite, polished style of a sophisticated city dweller. The word may be used either of suave, socially refined behavior or of expression that is polished and elegant: ""Mary's stunning designer dresses and witty, urbane conversation made her a popular guest at all the high-society parties.""<br><br>Polished, sophisticated, suave, cosmopolitan.<br>Related word: urban, pertaining to or living in a city. Urbane suggests the polished sophistication of a city dweller."
